170019696302096563	59.81100	-48.882889	SN
170019696302620796	59.48452	-49.103706	ORPHAN
170019696302620811	59.47437	-49.098816	ORPHAN
170019696302620849	59.61676	-49.043217	SN
170019696303145039	59.40511	-49.237792	SN
170019696303145044	59.42637	-49.215877	SN
170019696303145089	59.31895	-49.186330	SN
170019696303669300	59.88499	-48.733955	SN
170019696303669302	59.89408	-48.727011	SN
170019696304193611	59.42662	-48.908000	SN
170019696304717873	59.23898	-49.106291	ORPHAN
170019696304717973	58.98400	-49.093474	SN
170019696304718001	59.27299	-49.045735	ORPHAN
170019696305242136	59.46659	-49.646099	SN
170019696305766456	59.22509	-49.750331	ORPHAN
170019696305766522	59.02146	-49.688701	SN
170019696305766576	59.22837	-49.748878	ORPHAN
170019696306290733	58.81593	-49.951286	ORPHAN
170019696306290744	58.92766	-49.875755	SN
170019696306290808	58.69224	-49.893543	SN
170019696306290870	58.77677	-49.834681	SN
170019696306815155	59.09187	-49.388480	SN
170019696307863703	58.47240	-49.654109	SN
170019696308387927	58.77428	-49.244439	ORPHAN
170019696308387946	58.91511	-49.143638	ORPHAN
170019696308388018	58.75328	-49.202002	SN
170019696309436458	58.43716	-49.569525	SN
170019696309960847	58.59454	-50.174168	SN
170019696309960873	58.41387	-50.070438	SN
170019696310485183	58.29136	-50.070319	ORPHAN
170019696311009287	58.24055	-50.372600	SN
170019696311009371	57.93387	-50.410444	SN
170019696311009411	58.10041	-50.250217	SN
170019696311533598	58.46281	-49.884212	SN
170019696313106537	58.12604	-49.819211	SN
170019696313106566	58.08692	-49.626767	SN
170019696313630743	57.75056	-49.971688	SN
170019696314155013	57.70150	-50.051643	SN
170019696314155108	57.60604	-49.924697	SN
170019696314155182	57.44248	-49.935833	ORPHAN
170019696314679505	61.00765	-47.595388	SN
170019696315203603	60.91446	-47.847784	ORPHAN
170019696315203605	60.91056	-47.850020	ORPHAN
170019696315203612	60.97602	-47.798872	SN
170019696315203635	60.86467	-47.842867	SN
170019696315203858	60.70412	-47.809511	SN
170019696316776470	60.62468	-47.703175	SN
170019696316776606	60.48701	-47.535692	SN
170019696316776635	60.59938	-47.610060	SN
170019696318349586	60.32331	-47.523481	SN
170019696318349655	60.25926	-47.551515	SN
170019696318349676	60.24389	-47.558051	SN
170019696318874298	59.97114	-47.685022	SN
170019696318874315	59.96294	-47.688260	SN
170019696319922241	59.99804	-48.315663	SN
170019696319922260	60.09098	-48.211151	SN
170019696319922360	60.05726	-48.274962	SN
170019696321495080	59.93661	-48.064522	SN
170019696321495119	59.88043	-48.026301	ORPHAN
170019696321495128	59.70865	-48.104175	SN
170019696322019331	59.52000	-48.388635	SN
170019696322543621	59.79978	-47.920956	UNCLEAR
170019696322543768	59.66273	-47.767018	SN
170019696323068060	59.57793	-47.918705	SN
170019696323068062	59.53141	-47.924792	SN
170019696323592241	59.35867	-48.087249	ORPHAN
170019696323592290	59.36244	-47.982335	SN
170019696325165150	58.83069	-48.855198	SN
170019696325689363	59.39386	-48.441846	SN
170019696325689424	59.21997	-48.451619	SN
170019696325689462	59.27261	-48.320851	SN
170019696326737981	58.80128	-48.653567	SN
170019696327262213	59.01639	-48.377478	SN
170019696327262223	59.07798	-48.310602	SN
170019696327786498	58.90386	-48.443132	SN
170019696327786531	58.73132	-48.472891	SN
170019696327786607	58.62322	-48.336865	SN
170019696327786615	58.76259	-48.246828	SN
170019696328310793	58.67163	-48.569962	SN
170019696328835126	58.79311	-49.039451	SN
170019696328835256	58.75832	-49.028586	UNCLEAR
170019696328835273	58.66231	-49.000837	SN
170019696329359448	58.50970	-49.152863	SN
170019696329359478	58.30017	-49.170845	SN
